text,prediction
RT @SueSmith587: @realDonaldTrump Childish names continue while thousands of Americans die each day &amp; trump pretends the coronavirus is gon…,-1.0
"RT @amazoniansunite: ""The number of positive cases was twice what many workers suspected. At least 45 workers at MSP1 had tested positive b…",1.0
"A child born in 1985 thinks his grandparents have no idea how difficult life is, but they have survived several war… https://t.co/FdfLpZub59",0.0
We haven't been doing enough contact tracing in Kenya and people being exempt from the lockdown such as politicians… https://t.co/rV1y2LEx3h,-1.0
"RT @basu_bratya: Free ration till June 2021 ✅
Price of COVID tests capped ✅
Consultation charges capped ✅
PPE kit charges capped ✅
Distribu…",0.0
"RT @VaughnHillyard: Arizona just reported *4,878* new COVID cases in the last 24 hours--a staggering record.

Arizona just reported *88* ne…",1.0
RT @AslamShaikh_MLA: This year #LalbaugchaRaja will help fight #COVIDー19 in a unique way. The Ganesh Festival will be celebrated as 'Aarogy…,0.0
"RT @Traveling_89: @peonyloves08 Day of Canada
Social Distance in Effect - Pandemia.
On that note: PM Mulroney wrote: We should bring in mor…",-1.0
RT @WLKY: Kroger gets approval for at-home coronavirus testing collection kits https://t.co/mcVYDjstos,0.0
RT @narendramodi: Reviewed preparations relating to a vaccine to cure COVID-19. An important subject that was discussed was the creation of…,1.0
"RT @robertdeakin1: Today our @GoldsmithsUCU
branch voted to enter into an official dispute over this attack on precarious academic staff @G…",-1.0
RT @atrupar: The president has posted 17 tweets this morning and not a single one of them even alludes to the pandemic that has now killed…,0.0
"RT @glennkirschner2: On the upside, as a former career prosecutor I can assure you I would slap an evidence sticker on this clip and offer…",0.0
RT @CNBC: Joe Biden says the president “has waved the white flag and left the field of battle” against the resurgent coronavirus pandemic.…,0.0
RT @jessefelder: 'The U.S. has long enjoyed a so-called exorbitant privilege as the financial center of the world. But if enough investors…,0.0
RT @atrupar: The president has posted 17 tweets this morning and not a single one of them even alludes to the pandemic that has now killed…,0.0
"RT @chloedontsurf: heartbreaking signs held up inside of bradley county jail today. inmates are being denied proper PPE (masks, cleaning su…",0.0
"RT @MeeraAlva: Great article on the urgency to address mental health issues in these stressful pandemic times. 
Our book ‘Young Mental Heal…",1.0
"RT @maddow: ""As the rest of the Western world presses ahead with  reopening plans after suppressing their curves -- and bans Americans beca…",0.0
RT @LukeLeverett: The whole “extending the pandemic to own the libs” thing really sucks,1.0
"RT @doreen6399: They've actually buried their heads up Trump's a**, which will require surgical removal.  By the time the @GOP wake-up, man…",0.0
RT @DrZoeHyde: Public health officials in Manchester have discovered that the number of new coronavirus cases in the city in the past week…,-1.0
"RT @mog7546: #FoxNews PROMOTING LIES (again)

#Ingraham Attacks #Fauci for WARNING CONGRESS About Ongoing Pandemic Resurgence: He's 'Workin…",1.0
"RT @JYSexton: No conversation about the pandemic is complete without examining how the GOP destroyed reality in order to win elections.

Ev…",1.0
RT @zerohedge: ARIZONA REPORTS RECORD ONE-DAY INCREASE IN VIRUS CASES,0.0
"RT @jhalcrojohnston: Flights from Tenerife, Ibiza and other destinations coming in and out of Prestwick, a Scottish Government owned airpor…",0.0
"“And we go straight to the Hawthornes as the deadlock has finally been broken, what can you tell us Chris”

“Yeah i… https://t.co/Mx8PGybWwe",0.0
"I’m sorry, what?",-1.0
"RT @vanxessan: I don’t know who needs to hear this but 4th of July is CANCELLED. First of all, this country is not worth celebrating. Secon…",1.0
RT @NerriaNerria: My household hasn’t lacked a thing during this whole pandemic. I’m so thankful.,1.0
"@Indian111Indian @globaltimesnews India can't win the virus, but China can win India.",1.0
"RT @ArvindKejriwal: Situation is improving in Delhi in last few days. However, there is no room for complacency. This virus is unpredictabl…",0.0
@redhaldor @EvadLOL @MattC85028 @MartyBent The virus follows a natural pattern. If you are EXTREMELY lucky you can… https://t.co/mxTh260NEm,0.0
RT @NerriaNerria: My household hasn’t lacked a thing during this whole pandemic. I’m so thankful.,1.0
@realDonaldTrump @nytimes Just another hoax like covid 19 right? Hahaha you're such a mentally insatiable loser....… https://t.co/QRb42cPly9,-1.0
@globaltimesnews U r mass murderer u ve killed 5.15 lakhs of people who died of Wuhan virus/ covid19 😠😠😠,1.0
"RT @Kevin_Maguire: ""They're the ditherers"" says a shameless Boris Johnson when his lockdown dithering cost thousands of lives #PMQs",-1.0
RT @RiyaIns85159591: @insan_honey Ryt @insan_honey di. On this #NationalDoctorsDay we salute and thanks to our doctors who provides their s…,1.0
RT @goremeat: Please know that it ONLY costs 10$ to make. This is PUBLIC INFORMATION. They are truly cold and awful people for doing this.,-1.0
Yes the US are bullies and #Gilead is run by thieves.,0.0
RT @HegKong: Our masters are considering ways to vaccinate us all with the COVID-19 vaccine. Full on compulsory vaccination would create an…,1.0
"RT @PeterOnyenwosa: My Uncle, Dr Robert during the lockdown through my twin brother and I reached out to the the widows in my community as…",0.0
"RT @lifelightcomics: Don't be a Hayashi. Please, please, please: 

Wear

Your

Masks.

The mask isn't there to protect you from covid. It's…",-1.0
"i'm deadass waiting on a answer cause staying home not working, going outside not working THE MASK NOT WORKING so w… https://t.co/MBb6YfbUBR",0.0
Trump/GOP won’t punish Russia for putting a BOUNTY on US soldiers. + They’re trying to take health insurance from m… https://t.co/GMnOUKpARB,0.0
RT @_countinstars_: People don’t understand the severity of COVID-19 until it actually affects them personally.,0.0
RT @SenSanders: How can it be that the United States—with just 4% of the world’s population—accounts for 25% of the world’s coronavirus dea…,0.0
"RT @LoveAndShalom: Please, please, please don't sweep this under the rug. Your disabled friends are in danger. 

We must unite and fight th…",0.0
RT @BrianEntin: NEW: Jackson Health System -- Miami's largest public hospital -- will start limiting inpatient surgeries and procedures to…,0.0
RT @SourraavOP: Lockdown aur badta rahe.. 😂😂😭 https://t.co/DNgijXvEyr,-1.0
"RT @RepDanCrenshaw: Democrats just passed a bill that would make it harder for American innovators to develop a COVID-19 vaccine.

Here’s w…",0.0
"RT @mmpadellan: Tonight, voters in Oklahoma showed exactly how important Healthcare is by voting for Medicaid expansion...

...and how FOOL…",1.0
"RT @vanxessan: I don’t know who needs to hear this but 4th of July is CANCELLED. First of all, this country is not worth celebrating. Secon…",1.0
RT @simondolan: Make no mistake - this is no co-incidence. The Govt are running scared from the case tomorrow and want to give the impressi…,0.0
"RT @wsvn: The Florida Department of Health reported 6,563 new cases of COVID-19 on Wednesday. https://t.co/mrbO7MpWtl",1.0
@KVUE He literally has not been right about one single coronavirus prediction. You have a growing number of medical… https://t.co/o9uNXrsxxC,0.0
"RT @LoveAndShalom: Please, please, please don't sweep this under the rug. Your disabled friends are in danger. 

We must unite and fight th…",0.0
"RT @Dbwagner104: 107 COVID cases have been linked to misguided nights out at a single East Lansing, MI bar over a week-long period.

As a f…",0.0
NY actually ordered Covid testers to never ask if a person had been to a protest... then they announced no connecti… https://t.co/hlCoLS9K50,0.0
"RT @Inevitable_ET: The alleged covid death rate is still below 0.04% in the US. 
Most deaths occur in people over 80 years old who have at…",0.0
RT @jheil: Never a dull moment hacking it up with Super Duper Mega Ultra Hacks @davidaxelrod and @murphymike.,-1.0
"@HotPinkPeony @alid1973 @JoeBiden Would you sign a waiver to not receive treatment if you get COVID? 

https://t.co/wws4JkoBJ0",1.0
"RT @BookOfMetallicA: Both @larsulrich &amp; @RobertTrujillo are hinting that #Metallica are working on something while in quarantine, probably…",0.0
"RT @glennkirschner2: On the upside, as a former career prosecutor I can assure you I would slap an evidence sticker on this clip and offer…",0.0
"RT @paul__johnson: 'We are the doers. They are the ditherers.'
-Boris Johnson 
#PMQs 

If lockdown had come a week earlier, 25,000 lives co…",0.0
"RT @LouiseMensch: Hi Texas. If you don’t want to die, vote @JoeBiden for President. #Biden2020 https://t.co/x2JgC5Ipi1",0.0
Check out RXAIR 4500 Large Hospital UV Light Air Purifier Airborne Bacteria  Virus Cleaner #RxAir https://t.co/t5mqu3biIA via @eBay,1.0
"Starts flat, Permits Up, Housing remains strong thru pandemic 
https://t.co/1Uhe7bhsK2",1.0
RT @TNHigherEd: It is crucial that students persevere through the pandemic and maintain momentum. We always encourage enrollment in higher…,0.0
"RT @TheLotaChukwu: For my first public outing, post covid, I’ll wear a 3 piece suit. I promise you guys.

🥺🥺",0.0
"RT @JStein_WaPo: 🚨🚨🚨🚨 Drug overdoses soaring by as much as 42% amid pandemic

- Economic devastation
- Prolonged isolation
- Ppl mixing new…",1.0
This is why a Covid vaccine needs to be controlled by the world and not by any single country or company,1.0
RT @sadcici: I’m a Starbucks Barista that has dealt with white people calling me a nigger to my face ! My roommates &amp; I all have COVID &amp; wi…,0.0
"RT @HighWireTalk: February Flashback: Surgeon General implores American public to ""stop buying masks"" because ""they are not effective in pr…",0.0
"RT @AP_Europe: Health experts have slammed the U.S. decision to hog nearly the entire global supply of remdesivir, the only drug licensed s…",0.0
Pandemic forces American to scale back long-haul plans https://t.co/rwamK6bTcA,0.0
.@MyrtleBeachGolf is there an updated list of MB courses still closed due to virus? Founders one of them?,0.0
Does your state make it impossible to get tested for COVID or is it normal,-1.0
"RT @PeterOnyenwosa: My Uncle, Dr Robert during the lockdown through my twin brother and I reached out to the the widows in my community as…",0.0
https://t.co/S4oWTeAfVB Blog This Link | #Coronavirus Stimulus Checks &amp; Unemployment Benefits | Answering Your Ques… https://t.co/UbrO5wahVS,0.0
"RT @KamalaHarris: Rent is due today and countless Americans don’t know how they’re going to make ends meet this month. 

A one-time payment…",-1.0
"RT @vanxessan: I don’t know who needs to hear this but 4th of July is CANCELLED. First of all, this country is not worth celebrating. Secon…",1.0
@potus handled COVID-19 crisis perfectly so don’t disrespect him by wearing a mask.,1.0
"More Than 6,500 New Coronavirus Cases in Florida, as Death Toll Reaches 3,550 https://t.co/qKnPPhuvom",1.0
RT @_countinstars_: People don’t understand the severity of COVID-19 until it actually affects them personally.,0.0
"RT @natsecaction: One major reason America has failed to control the coronavirus  pandemic?

We have a President who has consistently place…",-1.0
"RT @caselorg: With all the uncertainty about this summer &amp; the return to school in the fall, children may be feeling anxious. Use this #SEL…",1.0
"Questions like: 

Q: When do we move in?
A: August 2-16. Reservations will be required. Students moving into the re… https://t.co/Vg6L3442ju",0.0
"I recently re-joined @Facebook, after a multi-year hiatus, because the pandemic had me feeling isolated from friend… https://t.co/MwRjyVbCLX",0.0
"RT @amjedmbt: They are saying that unless Rs/ 5.76 lakhs are paid they will not give the dead body, that means a young 30 years covid patie…",-1.0
Remdesivir row: COVID-19 drug prompts patent rules debate - Sky News https://t.co/o10IQiNPfz,-1.0
"RT @LoveAndShalom: Please, please, please don't sweep this under the rug. Your disabled friends are in danger. 

We must unite and fight th…",0.0
"RT @davidmweissman: @JoeBiden This is true, I voted for Trump in 2016 because I believed he would get things done but instead he just tweet…",1.0
"RT @mrjaycoles: Hi. You can tweet Black lives matter, but if you’re leaving and going places without a mask, you don’t really value Black l…",-1.0
I should be in Venice right now... Thanks Covid 🖕🏻🤬,1.0
"Yup the idea is for ppl to believe it is China who is the cause of all this, which is lies.",0.0
RT @NoLeftyEsty: In case you do not know; the total cases that they are showing for the COVID also include PRESUMED case #s Yes you read th…,0.0
"@gregggonsalves You clowns didn't give a goddamn shit about covid during the ""protests"" but you pretend to care now?

GTFOH.",-1.0
"RT @chrisilluminati: Much like the pandemic, this vintage store warning sign escalated quickly https://t.co/wm9LMVw7Dx",1.0
RT @Fxhedgers: ARIZONA REPORTS RECORD ONE-DAY INCREASE IN VIRUS CASES - BBG,0.0
"RT @NYGovCuomo: This virus does not respond to politics or party.

It responds to what we do. 

Wear a Mask. Everyone Wear a Mask.",0.0
RT @DiwakarSharmaa: A well known politician from Mira Bhayandar has been tested Covid-19 positive.,1.0
RT @nycgov: We're expanding FREE COVID-19 antibody testing across New York City. You can learn important information about your health and…,1.0
"RT @realDonaldTrump: As I watch the Pandemic spread its ugly face all across the world, including the tremendous damage it has done to the…",-1.0
#Iran to Lock Down Persian Gulf Trade Hub After Virus Surge – Bloomberg https://t.co/rEUH6B9hiM,1.0
@Mcsocwpdude @kyrstensinema @LifeTime_Life The problem is the morons of this state are not taking care of themselve… https://t.co/EoqGSYlFvx,-1.0
RT @anirbanblah: This government is masterful at controlling the narrative. Everyone is talking about TikTok. No one is talking about what’…,1.0
"RT @showandtal: People love to say “we failed” at Covid response, but the ruling class was quite successful in preserving and increasing th…",1.0
RT @topliger1: How to Keep 'Pandemic Productivity' Going for Your Business https://t.co/qFGPx9vmnu https://t.co/rXfYmDUhuY,0.0
"@nastycermit It’s from Feb, i haven’t taken selfies since then due to covid https://t.co/y6lqPA6Hwx",-1.0
"RT @TheDemocrats: This crisis isn’t behind us, but Trump is acting like it is. As much as he tries, he can’t wash his hands of this respons…",-1.0
Why coronavirus contact tracing apps are failing https://t.co/uL9w0PgHbl https://t.co/Aun0mlkIuQ,-1.0
"RT @UNLimitedSport3: Due to COVID-19 potentially limiting attendance, Nebraska Volleyball head coach John Cook is exploring playing some ga…",0.0
"RT @disi_nigeria: #HelpYourKidsStaySafeOnline by:
- Supervising their online activities
- Monitoring their device &amp; Internet usage
- Instal…",0.0
"RT @BetoORourke: Houston’s medical center, largest in the world, swnding covid patients to other cities because they dont have capacity. Go…",0.0
RT @DoctorDarienMD: Watching other States question the benefit and use of masks during a global pandemic reminds me why I hated group proje…,-1.0
The pandemic has further increased trade tensions between the United States and China – and the state of the Phase… https://t.co/xNaih6kMe4,-1.0
RT @_countinstars_: People don’t understand the severity of COVID-19 until it actually affects them personally.,0.0
"RT @bradentonherald: Almost 200 kids have tested positive for coronavirus in Manatee County, state says https://t.co/ZJyrMVqW7D",1.0
NBA commissioner Adam Silver can't guarantee season will continue if there's rise in coronavirus cases - CNN Intern… https://t.co/K2X6diVdFb,0.0
"@SomeBitchIKnow These poor city crews should be wearing rebreathers.  The smell and contagion, and I'm NOT talking about COVID.",-1.0
RT @darylsturgis: Don't let this fly under the radar. Ohio's director of Public Health resigns after armed white men show up at her home pr…,1.0
Honestly you only comment to fit your narrative but go quiet when numbers are better !,0.0
RT @joerwallen: Exclusive: Senior Indian Army sources told us China has occupied 60 square km of Indian-administered Ladakh. India slow to…,0.0
"COVID-19: Yobe Committee Opens Up Borders, Adheres To FG Resolutions https://t.co/NdTdgTp9T4 https://t.co/xY89qJYmlZ",-1.0
"RT @red_baker_: Despite the US economic blockade, Cuba virtually eradicated childhood malnutrition over a decade ago. It is estimated that…",0.0
"RT @Bonn1eGreer: Do these people have an off switch?

We're in a #pandemic...",0.0
"RT @skepticaliblog: Wow👀

There are going to be major *permanent* changes to the economy post-pandemic

This has huge implications for comm…",1.0
RT @_countinstars_: People don’t understand the severity of COVID-19 until it actually affects them personally.,0.0
"Going out of town to somewhere cooler is tradition this time of year. If your 4th of July plans include traveling,… https://t.co/mu806VjDUu",0.0
RT @premnsikka: This is beyond bizarre. Deloitte got a contract to run Covid-19 tests but not required to report positive cases to health a…,-1.0
RT @NerriaNerria: My household hasn’t lacked a thing during this whole pandemic. I’m so thankful.,1.0
@ABC @rickklein Biden was laughable. He laid out his Covid plan all of which Trump has already done. @ABC and… https://t.co/MMund57x0F,1.0
"Includes “potential starters”

What is FCDallas doing and why haven’t they stopped doing it?",0.0
"RT @VaughnHillyard: Arizona just reported *4,878* new COVID cases in the last 24 hours--a staggering record.

Arizona just reported *88* ne…",1.0
"RT @rorhor: me, ever so naively, at the beginning of lockdown: https://t.co/NhCR0GRUm5",1.0
"RT @lewisa95: how much weight have you lost in lockdown?
me:  https://t.co/K2pd18o1tK",1.0
"RT @fascinatorfun: THIS Story by ⁦@ShaunLintern⁩ is going to make you mad

Rather than rapidly expand and support NHS labs with existing eq…",0.0
RT @RandPaul: A must read — finally an ‘expert’ with a healthy dose of common sense willing to publicly say that children rarely transmit C…,0.0
@SkyNewsAust the #LNPCrimeFamily and #ScottyFromHillsong have found a policy they believe in so much they’re prepar… https://t.co/pMKmKSqELE,1.0
RT @CoryBooker: We are very much so still in the midst of a global pandemic. Please keep wearing a mask and continue to practice social dis…,0.0
RT @ProjectLincoln: How convenient that every bad story about you is made up. Or you never hear it. Or you aren’t informed. You tried that…,-1.0
RT @atrupar: The president has posted 17 tweets this morning and not a single one of them even alludes to the pandemic that has now killed…,0.0
"Had us in the first half, and it’s probably gonna have us in the second. Between the virus and life in general, 202… https://t.co/ZdWRd1cclb",0.0
RT @Priyabr93355234: @DrRPNishank please sir don't push the students to the pangs of death in the wake of covid https://t.co/QMCoBFgQ97 hav…,-1.0
Virginia becomes the first state to create enforceable #COVID19 safety rules that protect all workers.… https://t.co/2VhbhST6c2,0.0
"RT @GretaThunberg: ""..COVID-19 is more than an illness. It is a symptom of the ailing health of our planet. Humanity’s dysfunctional relati…",1.0
@nasty_pj How to reach students in a pandemic when schools are closed and people don’t think you’re important.,1.0
"@WerewolfCat9 &gt; Thanks to covid...
Covid: No problem. Anytime 👍

&gt; I hope this works out
Only one way to find it out... :-)",1.0
"RT @ericswalwell: Whatever China did or didn't do, you were asleep at the switch when there was a chance to keep the pandemic from getting…",0.0
RT @austintylerro: List of countries that have banned Americans from entering due to mismanagement and rampant spread of COVID-19: https://…,-1.0
RT @dreamerpurerock: WTH is happening? Why is he always laughing when he’s talking about the pandemic? And why do his interviewers just lau…,0.0
"RT @Arfness: Just received a confidential email from Elvis, who says that he's still alive.",-1.0
@PaulMadill @TGFMichaelRosen @Dr_PhilippaW @Jeremy_Hunt Well said. Also @Jeremy_Hunt was the man at the helm when E… https://t.co/ztYc7Wszao,0.0
"RT @CalHospitals: AHA: US Healthcare’s losses from COVID-19 to top $323B this year. In California, federal relief currently covers less tha…",1.0
"Plug the title into that, and... Happy Canada Day!",1.0
RT @NeceTexas: Despite Democrat Governors doing everything they can to stop herd immunity and drag out the virus to hurt Trump's reelection…,1.0
"RT @PeterOnyenwosa: My Uncle, Dr Robert during the lockdown through my twin brother and I reached out to the the widows in my community as…",0.0
"RT @gtconway3d: Is it really that, or is it just that the Chinese didn’t buy enough soybeans to get you re-elected, as you had begged them…",0.0
"RT @KTLA: For the second day in a row, California broke its one-day record for the most COVID-19 infections reported https://t.co/U2YzAtVW7x",0.0
"RT @KamalaHarris: Rent is due today and countless Americans don’t know how they’re going to make ends meet this month. 

A one-time payment…",-1.0
"RT @undisputed: ""I got bad news for you and the rest of the NBA: LeBron James was playing out of his mind and he never shifted that, even w…",0.0
RT @FreddieGibbs: Who is this whore and why is she talkin about my kids?  pussy must not be selling in the pandemic 😂😂😂 https://t.co/SCEcoi…,0.0
RT @LeekHausman: So why me and my team on campus then?,0.0
RT @JulianCastro: Texas now has more daily coronavirus cases than Italy when it was a global epicenter of the pandemic.,0.0
"RT @soloyochapin: @mmpadellan @realDonaldTrump As Americans watch the Pandemic spread its ugly face all across the world, including the tre…",-1.0
I think it’s perfectly acceptable to hold people accountable for the hate and misinformation they’ve intentionally… https://t.co/LSIla0Viwy,-1.0
RT @kairyssdal: This seems...unsporting.,0.0
Everyone deserves a holiday once this pandemic is over.,0.0
"RT @3rdDegreeNet: Yes, more.

Sources: Three more #FCDallas Covid positive tests on Tuesday. That’s six since arrival and nine overall #DTI…",1.0
‘Lie Machines’: How #Governments Are Using #Tech to Spread #Misinformation About #COVID19  by @hope_reese in @OZM… https://t.co/CD9uURdFSm,-1.0
"RT @NR_Garrett: Exactly right

This happens time and time again
Trump did this with COVID and he’s doing it again with #RussianBountyGate…",1.0
"Happening Faster!

https://t.co/dJLFBYiG5K",0.0
"RT @Rob_Flaherty: It really should be more of a scandal that the President did a crowd event in Arizona like a week ago

https://t.co/P7Uh3…",0.0
"RT @chrisilluminati: Much like the pandemic, this vintage store warning sign escalated quickly https://t.co/wm9LMVw7Dx",1.0
RT @NicolaSturgeon: What is “reckless’ is trying to turn a public health battle against a deadly and dangerous virus into a political/const…,0.0
"RT @Ahmad_Shakeel: Someone has sent this picture portraing doctors &amp; nurses who passed away in this pandemic. You can enlarge and see. 
Sal…",1.0
RT @sapiofoxy: When information that teaches people to overcome illness naturally is being DELETED and when educating the population about…,1.0
"RT @drdavidsamadi: COVID-19 does not scare me.

The politics of this virus, however, do worry me.

We do not need to enter yet another lock…",-1.0
"RT @CityMayorLeic: We should have had this data right from the start.  Council’s up and down the land are the ones at the front line, we ne…",1.0
"RT @realDonaldTrump: As I watch the Pandemic spread its ugly face all across the world, including the tremendous damage it has done to the…",-1.0
"I am not sorry, but if you think about the pandemic in terms of your election chances instead of the people your po… https://t.co/cpfBUcU77k",-1.0
"⏺Florida #COVID19 hospitalizations are up
⏺Last 2 days have set new pandemic records (7-day ave), today 188
⏺Today’… https://t.co/nHhzIxUcLy",1.0
"RT @VaughnHillyard: Arizona just reported *4,878* new COVID cases in the last 24 hours--a staggering record.

Arizona just reported *88* ne…",1.0
THREAD,0.0
RT @SkyNews: President Trump's deal to hoover up the world supply of remdesivir is a chilling warning of what could happen when the first #…,1.0
@Nitrojunky54 @TaylerUSA @JackPosobiec I think a big part of this is from the lockdown.  Ever watched an episode of… https://t.co/DKvTtKQQT4,0.0
Yesterday marked 100 days since lockdown began in the UK and honestly don’t know how I feel about that,1.0
RT @petcrierbonanza: Efficient land use policy but make it sound scary,-1.0
"RT @support_dem: Trump hotel fails coronavirus hygiene testing as Dr. Fauci warns of 100,000 cases a day https://t.co/ac6XO5Xkl4",1.0
Another “hoax” like the coronavirus?!  RESIGN YOU POS!,0.0
"126,000+ American lives lost to coronavirus. Widespread protest against systemic racism in our law enforcement. An… https://t.co/dMrhxRN39L",0.0
Kore china is on a mission to eliminate us,-1.0
"RT @NTarnopolsky: #Breaking: The Palestinian Authority announces a new lockdown covering all the West Bank to go into effect in 48 hours, l…",0.0
Wow 28% positive rate.,1.0
"RT @PeterOnyenwosa: My Uncle, Dr Robert during the lockdown through my twin brother and I reached out to the the widows in my community as…",0.0
RT @TomFitton: Good news! The #coronavirus crisis is over. Tell the politicians and media! #ConstitutionOverCoronavirus,1.0
RT @RichardRcvortex: Trump Hotel Reportedly Failed Coronavirus Hygiene Test In Undercover Sting https://t.co/pY5Kuwe398 via @PoliTribune,0.0
@MaraGay Your recounting of your experience with having COVID should be mandatory reading for everyone.,1.0
RT @joy_there: BUSTED: Eight NIH Coronavirus Treatment Experts Disclosed Financial Ties To Gilead - National File https://t.co/WDQGpF3ffl,1.0
RT @forbes_india: 🔊 It's here! Listen to RC Bhargava on this week's 'From the Bookshelves...' podcast for a view on India's auto sector in…,-1.0
"RT @Sam66432: The Leader In Professional CV Writing. 

For an optimised and thoroughly researched CV, email @TsisocV at rebuildinfo@tsisocv…",-1.0
"RT @mrjaycoles: Hi. You can tweet Black lives matter, but if you’re leaving and going places without a mask, you don’t really value Black l…",-1.0
RT @darylsturgis: Rand Paul is the perfect avatar for the modern Republican party. An bumbling Luddite who is so dully incurious that his a…,1.0
RT @SenorGuapo_: and here comes July’s #1 draft pick,-1.0
"@ColoradoMatters With another non answer the answer is YES, @SenCoryGardner supports taking healthcare away from mi… https://t.co/Vv684thB1V",-1.0
Thought he didn’t believe in grades! 🧐,0.0
RT @_countinstars_: People don’t understand the severity of COVID-19 until it actually affects them personally.,0.0
"RT @cassandra17lina: #Pence could save hundreds of thousands of American lives just by saying, “I was wrong. I underestimated #COVID19. I’v…",-1.0
"RT @RevelInEvelynn: (RTs appreciated)
Time for a new pin
Hi! I'm Lynn! I'm a homeless trans lady living out of my car with my wife during t…",0.0
RT @NerriaNerria: My household hasn’t lacked a thing during this whole pandemic. I’m so thankful.,1.0
Covid secure courses?? Wtf Really?? Happy july 4th #Super Saturday. Comiserations to all you t₩&amp;t$ who will kill mi… https://t.co/usiG5gwX33,1.0
RT @DrTomFrieden: This may be the single most important thing I can share from 30 years fighting epidemics: the best programs use real-time…,1.0
"RT @jwgop: Death panels in Arizona, courtesy of the GOP.",0.0
RT @TruthsOverTrump: FL Gov. Desantis vetoed the budget for online education services during #COVIDー19. The cuts include online courses &amp; a…,-1.0
"RT @Jackanackanory6: I remember saying in January that Coronavirus was basically the flu...I was wrong, it's not as bad 🤦",-1.0
RT @gregpmiller: This is what Trump was doing on the day the Russian bounty plot was reportedly mentioned in the President's Daily Brief.,0.0
"RT @mitchellvii: I can't go anywhere inside in FL without a mask on.  They even take your temperature at the door.

We barely had protests.…",0.0
"RT @madflavor: Its Wednesday..... a beautiful day to be alive, put on that mask, powder your balls and tell them all to suck your dick....T…",1.0
RT @digiknowdri: An awesome robotic and virtual set that DRI installed in Fort Worth. It’s been getting some great use during the current p…,1.0
"RT @viperwave: ""No worse than the flu"" was a thing for about a month. https://t.co/qjSFlxJhiH",-1.0
RT @goremeat: Please know that it ONLY costs 10$ to make. This is PUBLIC INFORMATION. They are truly cold and awful people for doing this.,-1.0
@CeeHawk The fact that he immediately acts like he’s been put in charge of everyone like a student when the teacher… https://t.co/RmcFp2g8Hg,1.0
